corte	cv	rep	ALT	MSA	PSA	PMST
4	T1	1	60,50	26,05	1068,01	1068,01
4	T1	2	67,00	26,49	582,71	582,71
4	T1	3	62,50	23,58	636,57	636,57
4	T2	1	0,00	0,00	0,00	0,00
4	T2	2	0,00	0,00	0,00	0,00
4	T2	3	61,50	29,13	305,87	305,87
4	T3	1	0,00	0,00	0,00	0,00
4	T3	2	0,00	0,00	0,00	0,00
4	T3	3	60,50	24,56	442,09	442,09
4	T4	1	35,50	0,00	0,00	3000,97
4	T4	2	42,50	0,00	0,00	4127,76
4	T4	3	43,00	0,00	0,00	3363,53
4	T5	1	32,50	23,21	97,00	1526,44
4	T5	2	78,00	20,85	1022,00	2727,90
4	T5	3	32,50	24,63	67,00	2281,92
4	T6	1	45,00	0,00	0,00	2787,73
4	T6	2	34,50	0,00	0,00	1957,19
4	T6	3	41,50	0,00	0,00	2394,44
4	T7	1	34,00	0,00	0,00	2148,63
4	T7	2	44,50	0,00	0,00	2173,25
4	T7	3	44,50	0,00	0,00	2352,10
4	T8	1	35,50	0,00	0,00	1932,69
4	T8	2	45,00	0,00	0,00	3105,29
4	T8	3	39,50	0,00	0,00	3321,24
4	T9	1	35,00	0,00	0,00	2605,39
4	T9	2	35,00	30,80	85,00	2115,21
4	T9	3	43,50	30,77	64,00	3479,94
