corte	cv	rep	ALT	MSA	PSA	PMST
2	T1	1	84,50	12,80	3136,45	3136,45
2	T1	2	83,50	14,38	2704,01	2704,01
2	T1	3	76,00	15,01	2071,54	2071,54
2	T2	1	81,50	15,66	4808,07	4808,07
2	T2	2	96,00	13,89	3680,84	3680,84
2	T2	3	96,50	17,06	5765,08	5765,08
2	T3	1	89,00	13,46	3028,97	3028,97
2	T3	2	76,50	15,51	3413,17	3413,17
2	T3	3	75,00	12,66	2887,43	2887,43
2	T4	1	64,00	16,24	1364,50	3537,16
2	T4	2	84,50	17,34	953,50	3014,00
2	T4	3	87,00	15,54	543,98	3301,41
2	T5	1	71,50	17,90	877,14	2213,64
2	T5	2	77,00	10,63	977,82	3336,64
2	T5	3	96,00	18,37	955,18	3363,30
2	T6	1	104,50	15,53	5295,90	5976,72
2	T6	2	102,50	12,27	3826,81	4518,75
2	T6	3	99,50	16,51	5265,75	6212,07
2	T7	1	101,50	14,87	4788,48	5351,52
2	T7	2	105,00	18,45	6033,86	7005,73
2	T7	3	86,50	16,43	4502,52	5728,64
2	T8	1	89,50	14,38	2688,86	4572,79
2	T8	2	89,00	15,81	1439,11	4025,29
2	T8	3	68,50	17,45	2216,65	4540,88
2	T9	1	93,50	14,05	2656,26	5462,23
2	T9	2	85,50	15,65	2301,10	4274,51
2	T9	3	102,50	12,90	1457,77	3996,73
