corte	cv	rep	ALT	MSA	PSA	PMST
3	T1	1	131,00	30,01	4560,99	4560,99
3	T1	2	114,00	23,90	2677,15	2677,15
3	T1	3	148,50	29,99	3238,75	3238,75
3	T2	1	82,50	29,76	3422,83	3422,83
3	T2	2	124,00	30,08	3970,73	3970,73
3	T2	3	131,50	28,95	3329,03	3329,03
3	T3	1	101,50	25,99	779,77	779,77
3	T3	2	100,50	28,32	1840,50	1840,50
3	T3	3	109,00	26,26	3571,11	3571,11
3	T4	1	97,50	36,79	235,47	5605,26
3	T4	2	74,50	31,93	766,42	4383,79
3	T4	3	60,50	36,97	195,96	5054,02
3	T5	1	90,00	34,15	1263,41	5260,99
3	T5	2	124,50	35,87	2833,97	5769,11
3	T5	3	98,00	32,69	1045,93	4785,93
3	T6	1	91,00	30,98	2881,09	5102,23
3	T6	2	76,00	31,91	606,23	2431,60
3	T6	3	75,50	33,21	830,18	2858,93
3	T7	1	83,00	31,83	2132,61	4763,93
3	T7	2	81,00	30,22	1178,55	2413,98
3	T7	3	81,50	29,41	1882,48	3404,20
3	T8	1	61,50	34,49	251,76	4267,57
3	T8	2	70,50	37,81	302,45	6677,79
3	T8	3	53,50	33,95	67,90	4836,71
3	T9	1	55,50	29,69	475,00	4059,23
3	T9	2	66,50	29,24	467,87	3536,29
3	T9	3	81,00	31,22	227,94	4670,03
